job_id,title,company,location,description,required_skills
1,Data Scientist,Acme Analytics,Bengaluru,"We are looking for a Data Scientist to build predictive models, perform statistical analysis, and communicate insights to stakeholders. Experience with machine learning pipelines and data visualization is essential.","python, machine learning, pandas, numpy, scikit-learn, sql, data visualization, statistics"
2,Machine Learning Engineer,NeuralWorks AI,Hyderabad,"Join our ML platform team to design, train, and deploy deep learning models at scale. You will work closely with data engineers to build robust MLOps pipelines.","python, deep learning, tensorflow, pytorch, docker, kubernetes, aws, machine learning"
3,Frontend Developer,PixelCraft Studio,Chennai,"Build responsive, accessible user interfaces using React and modern CSS frameworks. Collaborate with designers to deliver pixel-perfect experiences.","javascript, react, html, css, redux, tailwind css, rest api"
4,Backend Developer,ServerStack Technologies,Pune,"Design and maintain scalable REST APIs and microservices using Node.js and Express. Strong understanding of databases and system design required.","node.js, express.js, javascript, mongodb, rest api, microservices, sql"
5,Full Stack Developer,Bright Byte Solutions,Remote,"Work across the stack building features end-to-end with React on the frontend and Django on the backend. Experience with cloud deployment is a plus.","python, django, react, javascript, postgresql, aws, git"
6,DevOps Engineer,CloudNine Systems,Bengaluru,"Own our CI/CD pipelines, container orchestration, and infrastructure as code. Ensure high availability and smooth deployments across environments.","docker, kubernetes, jenkins, ci/cd, terraform, aws, linux, ansible"
7,Data Analyst,Insight Metrics,Mumbai,"Analyze business data to generate actionable insights using SQL and BI tools. Prepare dashboards and reports for leadership review.","sql, excel, power bi, tableau, data analysis, python, statistics"
8,NLP Engineer,LinguaTech AI,Remote,"Develop and fine-tune large language models and NLP pipelines for text classification, summarization, and chatbots.","python, nlp, natural language processing, pytorch, machine learning, llm, deep learning"
9,Software Engineer - Java,Enterprise Core Systems,Noida,"Develop enterprise-grade backend applications using Java and Spring Boot. Strong OOP fundamentals and database experience required.","java, spring boot, sql, mysql, git, microservices"
10,Cloud Engineer,SkyNet Cloud Services,Hyderabad,"Design and manage cloud infrastructure on AWS and Azure, focusing on cost optimization, security, and scalability.","aws, azure, cloud computing, terraform, linux, docker, kubernetes"
11,Mobile App Developer (Android),AppForge Labs,Chennai,"Build and maintain native Android applications using Kotlin. Work with REST APIs and Firebase for backend integration.","kotlin, android studio, java, firebase, rest api, git"
12,QA / Automation Engineer,QualityFirst Testing,Pune,"Design and execute automated test suites using Selenium and pytest. Collaborate with developers to ensure product quality.","selenium, pytest, python, api testing, jira, agile"
13,Business Analyst,Strategic Consulting Group,Mumbai,"Bridge the gap between business needs and technical teams. Gather requirements, document processes, and support agile ceremonies.","communication, project management, agile, scrum, excel, presentation, problem solving"
14,Data Engineer,PipelineWorks Data,Bengaluru,"Build and maintain scalable ETL pipelines using Spark and Airflow. Strong SQL and big data experience required.","python, spark, airflow, etl, big data, sql, aws, hadoop"
15,UI/UX Designer,DesignHive Studio,Remote,"Create intuitive, user-centered designs and prototypes using Figma. Conduct user research and usability testing.","figma, ui/ux, communication, presentation, problem solving, adaptability"
16,Product Manager,LaunchPad Products,Bengaluru,"Own the product roadmap, gather stakeholder requirements, and coordinate with engineering to deliver features on time.","project management, agile, scrum, communication, leadership, jira, presentation"
17,Junior Python Developer,CodeSprout Technologies,Remote,"Great opportunity for early-career developers to work on backend services using Python and Flask, with mentorship provided.","python, flask, sql, git, rest api, problem solving"
18,Machine Learning Researcher,DeepMind Labs (fictional),Remote,"Conduct applied research in computer vision and generative AI, publish findings, and prototype novel model architectures.","python, deep learning, computer vision, pytorch, generative ai, machine learning, statistics"
